quantity,name,colors,cmc,mana_cost,type_line,oracle_text,power,toughness,transform_name,transform_type_line,transform_oracle_text,transform_power,transform_toughness,rarity,set,scryfall_api,scryfall_url
1,Angel of Glory's Rise,W,7,{5}{W}{W},Creature — Angel,"Flying
When this creature enters, exile all Zombies, then return all Human creature cards from your graveyard to the battlefield.",4,6,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/7a8be765-0949-491c-875c-0385fb83e4b9,https://scryfall.com/card/avr/1/angel-of-glorys-rise?utm_source=api
1,Angel of Jubilation,W,4,{1}{W}{W}{W},Creature — Angel,"Flying
Other nonblack creatures you control get +1/+1.
Players can't pay life or sacrifice creatures to cast spells or activate abilities.",3,3,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/16c5dfed-4dee-4e48-a445-89f03d7794e6,https://scryfall.com/card/avr/2/angel-of-jubilation?utm_source=api
1,Angel's Mercy,W,4,{2}{W}{W},Instant,You gain 7 life.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/7a437999-26ae-49fa-8647-c8c2b4640702,https://scryfall.com/card/avr/3/angels-mercy?utm_source=api
1,Angelic Wall,W,2,{1}{W},Creature — Wall,"Defender (This creature can't attack.)
Flying",0,4,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/d7b2450d-87a7-46dc-b43a-2db2abeca44f,https://scryfall.com/card/avr/4/angelic-wall?utm_source=api
1,Archangel,W,7,{5}{W}{W},Creature — Angel,"Flying, vigilance",5,5,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/3741b2a7-7bda-481a-b8f8-9b04c96035b0,https://scryfall.com/card/avr/5/archangel?utm_source=api
1,"Avacyn, Angel of Hope",W,8,{5}{W}{W}{W},Legendary Creature — Angel,"Flying, vigilance, indestructible
Other permanents you control have indestructible.",8,8,NA,NA,NA,NA,NA,mythic,avr,https://api.scryfall.com/cards/ba149706-cd17-4da6-8403-ccfe2d6cb437,https://scryfall.com/card/avr/6/avacyn-angel-of-hope?utm_source=api
1,Banishing Stroke,W,6,{5}{W},Instant,"Put target artifact, creature, or enchantment on the bottom of its owner's library.
Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/238d8437-1abd-4bb7-8b5b-54f959bc2c79,https://scryfall.com/card/avr/7/banishing-stroke?utm_source=api
1,Builder's Blessing,W,4,{3}{W},Enchantment,Untapped creatures you control get +0/+2.,NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/2ad27af1-b482-40d5-9dbb-11201ffa0410,https://scryfall.com/card/avr/8/builders-blessing?utm_source=api
1,Call to Serve,W,2,{1}{W},Enchantment — Aura,"Enchant nonblack creature
Enchanted creature gets +1/+2, has flying, and is an Angel in addition to its other types.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/ce4a3e80-6e95-4346-8ab8-eecc1a09ca24,https://scryfall.com/card/avr/9/call-to-serve?utm_source=api
1,Cathars' Crusade,W,5,{3}{W}{W},Enchantment,"Whenever a creature you control enters, put a +1/+1 counter on each creature you control.",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/78154978-9e7d-44e9-a03f-c578072a8ff7,https://scryfall.com/card/avr/10/cathars-crusade?utm_source=api
1,Cathedral Sanctifier,W,1,{W},Creature — Human Cleric,"When this creature enters, you gain 3 life.",1,1,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/76cac47a-9e83-4039-8d80-fa9bdadb7527,https://scryfall.com/card/avr/11/cathedral-sanctifier?utm_source=api
1,Cloudshift,W,1,{W},Instant,"Exile target creature you control, then return that card to the battlefield under your control.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/35b06c8f-5f08-43bd-a548-2a98ba30fd41,https://scryfall.com/card/avr/12/cloudshift?utm_source=api
1,Commander's Authority,W,5,{4}{W},Enchantment — Aura,"Enchant creature
Enchanted creature has ""At the beginning of your upkeep, create a 1/1 white Human creature token.""",NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/08ef4383-11e7-4426-a04a-058570f46e47,https://scryfall.com/card/avr/13/commanders-authority?utm_source=api
1,Cursebreak,W,2,{1}{W},Instant,Destroy target enchantment. You gain 2 life.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/c71a0883-316c-4870-a029-25f16952fbc0,https://scryfall.com/card/avr/14/cursebreak?utm_source=api
1,Defang,W,2,{1}{W},Enchantment — Aura,"Enchant creature
Prevent all damage that would be dealt by enchanted creature.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/f12fee0b-c237-4188-a718-1572f72c63ba,https://scryfall.com/card/avr/15/defang?utm_source=api
1,Defy Death,W,5,{3}{W}{W},Sorcery,"Return target creature card from your graveyard to the battlefield. If it's an Angel, put two +1/+1 counters on it.",NA,NA,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/028028d7-80ff-4d63-8b84-795f257a3456,https://scryfall.com/card/avr/16/defy-death?utm_source=api
1,Devout Chaplain,W,3,{2}{W},Creature — Human Cleric,"{T}, Tap two untapped Humans you control: Exile target artifact or enchantment.",2,2,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/84ceb7f1-14b7-4102-ade2-fbeb835d3804,https://scryfall.com/card/avr/17/devout-chaplain?utm_source=api
1,Divine Deflection,W,1,{X}{W},Instant,"Prevent the next X damage that would be dealt to you and/or permanents you control this turn. If damage is prevented this way, Divine Deflection deals that much damage to any target.",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/ec06e42f-e294-44ef-8fa8-1d1a4c2090d8,https://scryfall.com/card/avr/18/divine-deflection?utm_source=api
1,Emancipation Angel,W,3,{1}{W}{W},Creature — Angel,"Flying
When this creature enters, return a permanent you control to its owner's hand.",3,3,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/7a4bc00e-28ca-4152-b832-f36425d2b615,https://scryfall.com/card/avr/19/emancipation-angel?utm_source=api
1,Entreat the Angels,W,3,{X}{X}{W}{W}{W},Sorcery,"Create X 4/4 white Angel creature tokens with flying.
Miracle {X}{W}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",NA,NA,NA,NA,NA,NA,NA,mythic,avr,https://api.scryfall.com/cards/31292616-70e6-4d19-a883-e63ad860f50c,https://scryfall.com/card/avr/20/entreat-the-angels?utm_source=api
1,Farbog Explorer,W,3,{2}{W},Creature — Human Scout,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),2,3,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/489c6a2f-38b4-4ff9-95f7-431384480ed9,https://scryfall.com/card/avr/21/farbog-explorer?utm_source=api
1,Goldnight Commander,W,4,{3}{W},Creature — Human Cleric Soldier,"Whenever another creature you control enters, creatures you control get +1/+1 until end of turn.",2,2,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/c6ebec82-9d4a-4e78-b923-37c3a52133e7,https://scryfall.com/card/avr/22/goldnight-commander?utm_source=api
1,Goldnight Redeemer,W,6,{4}{W}{W},Creature — Angel,"Flying
When this creature enters, you gain 2 life for each other creature you control.",4,4,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/df5656e3-5f53-41f8-9f24-04caad5e4ca3,https://scryfall.com/card/avr/23/goldnight-redeemer?utm_source=api
1,Herald of War,W,5,{3}{W}{W},Creature — Angel,"Flying
Whenever this creature attacks, put a +1/+1 counter on it.
Angel spells and Human spells you cast cost {1} less to cast for each +1/+1 counter on this creature.",3,3,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/77e92bbb-c22d-4879-9437-b87a3ff70a2d,https://scryfall.com/card/avr/24/herald-of-war?utm_source=api
1,Holy Justiciar,W,4,{3}{W},Creature — Human Cleric,"{2}{W}, {T}: Tap target creature. If that creature is a Zombie, exile it.",2,1,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/640cad49-1db3-4611-a80d-7ce95f000fad,https://scryfall.com/card/avr/25/holy-justiciar?utm_source=api
1,Leap of Faith,W,3,{2}{W},Instant,Target creature gains flying until end of turn. Prevent all damage that would be dealt to that creature this turn.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/7ba52aed-440c-4b32-8f25-0c5364441712,https://scryfall.com/card/avr/26/leap-of-faith?utm_source=api
1,Midnight Duelist,W,1,{W},Creature — Human Soldier,Protection from Vampires,1,2,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/2371bd0c-ca38-4a62-b525-bef4d1ca0646,https://scryfall.com/card/avr/27/midnight-duelist?utm_source=api
1,Midvast Protector,W,4,{3}{W},Creature — Human Wizard,"When this creature enters, target creature you control gains protection from the color of your choice until end of turn.",2,3,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/d4f6214f-90cb-4575-b221-3c8d0ed65ffe,https://scryfall.com/card/avr/28/midvast-protector?utm_source=api
1,Moonlight Geist,W,3,{2}{W},Creature — Spirit,"Flying
{3}{W}: Prevent all combat damage that would be dealt to and dealt by this creature this turn.",2,1,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/4cf4c4cf-df35-4725-81ca-d62b70b8d0dd,https://scryfall.com/card/avr/29/moonlight-geist?utm_source=api
1,Moorland Inquisitor,W,2,{1}{W},Creature — Human Soldier,{2}{W}: This creature gains first strike until end of turn. (It deals combat damage before creatures without first strike.),2,2,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/581dbbea-9995-4e4b-ba5c-d6d5597e4ace,https://scryfall.com/card/avr/30/moorland-inquisitor?utm_source=api
1,Nearheath Pilgrim,W,2,{1}{W},Creature — Human Cleric,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as this creature is paired with another creature, both creatures have lifelink.",2,1,NA,NA,NA,NA,NA,uncommon,avr,https://api.scryfall.com/cards/d81d6fe0-c7c2-46a6-811c-f121284937ea,https://scryfall.com/card/avr/31/nearheath-pilgrim?utm_source=api
1,Restoration Angel,W,4,{3}{W},Creature — Angel,"Flash
Flying
When this creature enters, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",3,4,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/c2ad8639-e586-47f4-baca-2a1af5aa281b,https://scryfall.com/card/avr/32/restoration-angel?utm_source=api
1,Riders of Gavony,W,4,{2}{W}{W},Creature — Human Knight,"Vigilance
As this creature enters, choose a creature type.
Human creatures you control have protection from creatures of the chosen type.",3,3,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/bcc1647b-9271-4426-9938-7eb620ad0769,https://scryfall.com/card/avr/33/riders-of-gavony?utm_source=api
1,Righteous Blow,W,1,{W},Instant,Righteous Blow deals 2 damage to target attacking or blocking creature.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/9b640fdc-7a19-475e-858f-e159f61e154e,https://scryfall.com/card/avr/34/righteous-blow?utm_source=api
1,Seraph of Dawn,W,4,{2}{W}{W},Creature — Angel,"Flying, lifelink",2,4,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/5da345bd-8f2b-4966-97f5-c0e4c6cfe3b7,https://scryfall.com/card/avr/35/seraph-of-dawn?utm_source=api
1,Silverblade Paladin,W,3,{1}{W}{W},Creature — Human Knight,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as this creature is paired with another creature, both creatures have double strike.",2,2,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/16298ca0-80d4-4299-a550-500b7ef6ac67,https://scryfall.com/card/avr/36/silverblade-paladin?utm_source=api
1,Spectral Gateguards,W,5,{4}{W},Creature — Spirit Soldier,"Soulbond (You may pair this creature with another unpaired creature when either enters. They remain paired for as long as you control both of them.)
As long as this creature is paired with another creature, both creatures have vigilance.",2,5,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/f774e0eb-5c05-4a9e-8ab7-9ee4c7741591,https://scryfall.com/card/avr/37/spectral-gateguards?utm_source=api
1,Terminus,W,6,{4}{W}{W},Sorcery,"Put all creatures on the bottom of their owners' libraries.
Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)",NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/0982ea7e-05a4-4e40-98ab-ea9aa6c7342e,https://scryfall.com/card/avr/38/terminus?utm_source=api
1,Thraben Valiant,W,2,{1}{W},Creature — Human Soldier,Vigilance,2,1,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/20558f69-9240-49b9-9695-caf75ee2db1b,https://scryfall.com/card/avr/39/thraben-valiant?utm_source=api
1,Voice of the Provinces,W,6,{4}{W}{W},Creature — Angel,"Flying
When this creature enters, create a 1/1 white Human creature token.",3,3,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/b785276b-3778-49f3-b46f-a1f3d91db097,https://scryfall.com/card/avr/40/voice-of-the-provinces?utm_source=api
1,Zealous Strike,W,2,{1}{W},Instant,Target creature gets +2/+2 and gains first strike until end of turn.,NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/ae8a01fb-dd47-44de-b528-8b7ca4b3388b,https://scryfall.com/card/avr/41/zealous-strike?utm_source=api
1,Alchemist's Apprentice,U,2,{1}{U},Creature — Human Wizard,Sacrifice this creature: Draw a card.,1,1,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/31abba67-1241-4fb3-88b5-4c4668ec5f25,https://scryfall.com/card/avr/42/alchemists-apprentice?utm_source=api
1,Amass the Components,U,4,{3}{U},Sorcery,"Draw three cards, then put a card from your hand on the bottom of your library.",NA,NA,NA,NA,NA,NA,NA,common,avr,https://api.scryfall.com/cards/f5b48d60-fc99-4d21-9293-4f7ce1c02928,https://scryfall.com/card/avr/43/amass-the-components?utm_source=api
1,Arcane Melee,U,5,{4}{U},Enchantment,Instant and sorcery spells cost {2} less to cast.,NA,NA,NA,NA,NA,NA,NA,rare,avr,https://api.scryfall.com/cards/32355574-34ed-4427-86d9-72295d32ac4f,https://scryfall.com/card/avr/44/arcane-melee?utm_source=api
